review,rating
"akun dan KTP saya sudah terdaftar lama, kenapa sekarang gak bisa di buka?, dan malah muncul ""USER TIDAK DI TEMUKAN"", mau bikin akun lagi gak bisa karna KTP terdaftar tapi gak bisa di buka, padahal NIK udah bener Pasword juga bener, tolong gimana itu min kok malah tambah bikin ribet?.",2
ok,5
solusi tamabah e waleet nya,5
tolong aplikasi dipeebaikin.. unggah foto stnk ngeblank dari kemarin delay tidak bisa samsek,1
plyanan baik,5
"tolong dong, kode otp lambat bgt ga dikirim2 gimana mau login. jika memang perlu pulsa untuk mendapatkan kode otp, boleh diinfokan.",1
error terus di aplikasi gak bisa log in user tidak di ketahui tpi lewat google bisa log in dan daftarin mobil aneh bener aplikasi nya,4
ok tapi dalam sepakan ini kenapa sulit buka kode QR,5
mantap,5
"Berhari hari mau daftar untuk dapat barcode hasilnya ""Terjadi kesalahan pada sistem"" mulu, kapan bisanya?!",1
"saya tadi isi bensin di SPBU, aplikasi gak bisa yamg lain bisa, di depan saya 3 motor bisa,di belakang saya bisa kenapa saya isi tidak bisa, orang SPBU juga sudah membantu tapi masih tidak bisa",5
keren,5
mantap,5
"Mudah dan cukup membantu, perbanyak bonus agar semangkin menarik. Dulu saya gak kesulitan menggunakan pembayaran metode mobile banking yg terdaftar, tp udh skrg ini tidak bisa lagi dg dg metode mobile banking selalu gagal. pdhl applikasi udh update terbaru. mohon solusi.",4
"buset dah sekarang buat masukin stnk harus foto langsung anjir, ga bisa kek dulu yang bisa masukin foto yang udah ada",2
susah daftar nya,1
Mantap.,5
tolong di perbaiki min apliasi nya error mulu mau bikin barcode gak bisa meakses data sistem lgi erorr terus kata nya,1
"Barkod tidak berguna, pengguna jerigen makin banyak",1
"aplikasi bodoh, mendfatrarkan qr baru karena mobil second malah di tolak",1
aplikasi selalu bermasalah,1
bagaimana cara melihat barkot,5
tolong kenapa sy gk bosa login,5
salah satu aplikasi pemerintah yang berfungsi maksimal,5
"Aplikasi sampah Tolol bgt, update terus nyusahin Hampir tiap mau isi bensin minta update Alhasil selalu bikin lama di pom Siapa pun yg megang operasional aplikasi ini, sudah pantas di pecat aja Cari yang lebih kompeten Ini sekarang nambah lagi erornya, lagi mau ngisi eh malah ga bisa di scan barcodenya Berkali kali di coba tetep petugasnya bilang ga bisa, suruh nunggu setengah jam coba lagi",1
"Nggak ada gunanya pasang aplikasi, yang penting dah punya barcode. data pembelian nggak ada di aplikasi, cuma berguna buat bayar noncash. kenap nggak langsung pakai mobile banking aja bayarnya kalau noncash, menuh2in aja memory HP.",1
klu bs jgn diupgrade trs,4
ini kenapa ya min tiap scan barcode katanya sistem sedang transaksi di tmpt lain sehingga gbsa digunakan. Padahal saya ga pernah scan transaksi BBM sebelumnya,1
"tolong lah untuk database kendaraan subsidi tepat diupdate,ini saya baru ganti plat nomer,udah 3 bulan ,kendala data kendaraan tidak ditemukan trs, padahal udah hub samsat udah masuk data nya",2
giliran daftar akun eror,1
ok,4
"parah apk ini. .seriap mau login ""captcha is not valid"", perbaiki dong",2
gak ada barcodenya payah,1
terjadi kesalahan sistem trs saat administrasi buat barcode subsidi,1
tolong dong.. saya sudah berkali2 masukkan pin yang bener buat klaim barcode.. kok malah gagal terus.. padahal akun sudah bener terdata.. pin klaim juga sudah bener,1
praktis,5
terbaik,5
ok,5
Kecewa dengan aplikasi my Pertamina karena setiap kali isi minyak aplikasi tidak bisa dibuka. ini sangat membuang waktu pengguna. tolong diperhatikan!!!,1
baik,5
mantab,5
ko susuh masuk mau bikin akun untuk QR,5
gk bisa login di subsidi tepat padahal nik dan pw udah benar. apk gakberguna,1
okeh,5
ok,5
ternyata banyak yg komplain ini nik dan kode captcha salah waktu d subsidi tepat. padahal sudah biasa pake. baru bulan ini ga bisa. gimana sih. jadi pingin pindah aja ke sebelah klo gini,1
aplikasi gk berguna,1
Oke,5
Cukup membantu untuk pembayaran online,5
"aplikasi nya bagus, jadi mudah buat bayar beli BBM",5
oc mudah untuk bertransaksi di pengisian,3
ini aplikasi gimana pas login lewat crom bisa giliran masuk lewat aplikasi salah sandi/email,1
"Mau buat akun program subsidi tepat kok tidak bisa langsung muncul tulisan ( Terjadi KESALAHAN SISTEM, silakan kembali dalam beberapa saat) sudah satu bulan seperti itu terus. hp sudah di restart, login kembali tidak bisa juga. Tolong solusinya nya!!",1
selalu eror saat masuk registrasi,1
"tolong diperbaiki buka menu subsidi tepat tidak bisa, padahal sebelum2nya bisa, sudah masuki nik dan pin juga tidak bisa, malah nik atau pin salah padahal benar datanya",1
gak ada keterangan pemakaian saat pengisian bbm.barkot saya telah di pakai orang yg gak bertanggung jawab.pertamina lemah dlm hal ini.,1
APLIKASI TOLOL,1
stuck di splash screen,3
"Tolong ini tim IT nya diperbaiki sistemnya, saya mau masuk akun subsidi tidak bisa,padahal NIK dan password sudah benar,dan coba klik lupa password dan sudah di ganti passwordnya,kemudian coba masuk akun subsidi lagi hanya bisa 2 x login aja ,setelah beberapa saat keluar aplikasi dan coba login lagi tidak bisa lagi",1
mantap,5
ribet,1
"verifikasi ditolak, giliran di ubah malah ngmong udah terdaftar..kalau emang udah terdaftar ngapain ditolak...??!! agak laen ini system aplikasi.. bilang aja suruh beli pertamax...!!",1
mantap,5
"sudah berulang kali verifikasi data diri tapi selalu di tolak, padahal data yg di isi sudah sesuai KTP.. sudah coba hapus apk trus instal lgi tetap ngga bsa.. pertamina klo mau bikin kebijakan pastikan dlu apk support ngga, jdinya selama ini ngga bisa ngisi pertalite, mau isi pertamax yg adanya oplosan sama aja..",1
"ga bisa login di subsidi tepat, padahal nik dan pass sudah betul.. tolong respon",3
ok,5
"Buat peraturan sesuaikan dengan kualiatasnya, kalau belum mampu gak usah buat aturan minimal ngotak",1
Sdh berhasil daftar. bertahun tahun bisa ambil kode solar. ini tiba tiba dibilang KTP akun tdk terdaftar. Gak guna dan semakin gak bisa dipercaya ini pertemina!,1
lebih mudah dan nyaman,5
"harga sudah benar10.000rb perliter tapi jangan dikorupsi Mulu,udah atasannya kurupsi bawahan pun juga samanya. masa iya motor tengki3,7 liter,baru di isi satu liter sebelum di pom bensin sampe pom bensin,isi full tang habis 39.000rb, biasanya habis 29.000/30.000 RB,kalo Pertamax wajar inimah pertalite njir,iya emang nggak seberapa tapikan kalo dari sekian orang yang kena tipu kan lumayan,tinggal di x kan aja, mengecewakan.sengaja saya donlwoad apk My Pertamina biar tau,kalo bisa sidak pegawainya",1
aplikasi eror terus buat akun susah perbarui data trouble ruwet ruwet,1
my pertamina sangat memudahkan transaksi pembelian BBM di SPBU,5
mantap,5
tidak bisa kirim OTP,4
aplikasi bego .kebnyakan error. mending aplikasi bokep sekalian,1
ok,5
ok,5
"apa coba pas masuk akun buat ambil QR ga bisa log in padahal udah valid nik sama pasword, saya coba rubah kata sandinya tetep ga bisa log in aplikasi cacat",1
mantap,5
tolong jangan mempersulit masyarakat,1
claim Barcode susah,1
"nggk ada solusi jika QR kendaraan diblokir, katanya di tangani pihak terkait namun udah 3 bulan tidak ada hasil",1
knp karyawan Pertamina TDK sopan y ..sedangkan kita beli di sana bukan minta ...terutama pom panaranga Bogor paledang .... tolong di perbaiki kinerjanya .. dan terapkan SOP .. gara2 sy isi 10 rb dia bilang knp g pom yg 1 LG padahal pom yg di jaga emang untuk motor seblh Pertamax sedang pom itu kosong,1
zip,5
bagus,5
"Aplikasi sering error, sudah beberapa kali ke spbu mau gunakan my pertamina, selalu gangguan",1
"SAYA MAU LOGIN MY PERTAMINA tapi gk bisa masuk terus,alsan kata sandi dan nik salah padahal sudah benar,,tolong di jelaskan",1
"Data kendaraan dan data akun kok tiba"" terhapus!? sangat merepotkan, udah ngantri lama di spbu pas giliran barcode tiba"" gk valid",1
Sistem error trus 😡,1
SAMPAH,1
sudah punya akun. mau log in di subsidi tepat kok NIK tidak terdaftar padahal sudah punya akun dan sudah terdaftar punya barcode. TOLONG PERBAIKI Bug nya,2
"tolong di perbaiki, setelah update tidak bisa untuk buka kode QR... Update malah kok malah mempersulit.",3
bikin QR kode buat truk gak jadi2..,1
"cuma bikin susah, qr baru seminggu udah ga bisa di baca... pinter ya buang buang anggarannya",1
mantap👍,5
"penggunaan sulit masuk, disangka lupa password. maksa minta ganti password berkala",1
"APLIKASI PARAH MASA SUDAH DAFTAR TAHUN 2024, SETIAP LOGIN NIK/USER TIDAK TERDAFTAR, ANEH",1
"ribet banget, error mulu",2
tiba-tiba tidak bisa akses QR code,1
pernah double payment udh lapor sampai 1 bulan lebih tidak ada jawaban sampai hari ini di post no laporan pun ada id 4702019,1
susah masuk akun Mao daftar ajh korupsi kali,1
pembelian evoucher menggunanakn pembayaran ovo tidak bisa,3
"update mulu, tapi update malah bikin error, yang bikin aplikasi ga ujicoba dl gitu sblm publish update? klik menu subsidi tepat buat ambil barcode malah dibilang password ama nik salah terus, padahal pake browser bisa, jd ga guna lah nih app",1
bisa bisanya aplikasi BUMN seburukk ini.daftar aja di oeraulit selalu muncul error pas upload foto stnk.setelah hubungi kami cs nya pertamina suruh ganti HP sama wifi. di tempat llain..sdh dilakukan kok eror juga..setelah nyari solusi yang di google..rrupanya banyak sekali kendala yang sama..herannya bbug sebsar ini kok. ngak bisa diatasi. sama perusahaan sebesar pertamina...heran aku,1
oke,5
mantap,5
mantap cepet mudah,5
"susah sekali daftarnya, apk error terus, orang mau beli aja di persulit, padahal kita beli bukan minta",1
Good,5
pendaftaran sulit tolong di perbaiki aplikasi nya mulai kemarin daftarin gagal terus data udah sesuai foto stnk masi aja gagal!!,1
"NIK sudah benar, tapi entah kenapa selalu error bahwa NIK salah, data NIK nya kadang terbaca kadang tidak. Gak niat ngasih subsidi?",1
"apps nya gajelas, gangguan sistem terus. udah berkali kali daftar akun buat subsidi tepat tetep aja gangguan sistem terus, nyusahin aja",1
"ini kyk mana kok gak bisa login ambil qr sedangkan ktp sama sandi sudah bener, d broswer bisa di buka d aplikasi keterangan salah mulu gmna ini",2
good,5
"aplikasi tak berguna, login lewat hp error. lewat browser pun upload foto stnk selalu di tolak alasan foto dari layar. padahal foto langsung. bikin susah aja.",1
"beli pertamax 425rb d my pertamina error gk kebaca, tp di brimo saya terpotong, akhirnya bayar cas, waduh rugi klo ginj ni, error terus. bikin hati was was",1
bagus dan cepat,4
"ERROR, SANGAT MENYUSAHKAN MASYARAKAT SEKALI DENGAN ADA NYA KODE BARCODE,Rakyat nya sengsara pejabat enak dan korupsi uang rakyat dari PERTAMINA OPLOSAN.....👎🏻👎🏻👎🏻👎🏻",1
paling ribet,1
G bisa login,1
"tiap kali update aplikasi akun saya hilang, dan harus daftar ulang, daftar ulang nemakan waktu 14 hari, dan aplikasi nya lemot, banyak eror nya, tolong di perbaiki, memperrumit pengguna aja, tiap daftar ulang di tolak terus",1
Setelah update daftar kendaraan hilang. 🤣🤣🤣. BUMN,1
"kok lama banget ya verifikasi nya? padahal dokumennya sdh jadii, tinggal verifikasi sajaa",3
sangat membantu pas g bawa diit cash,5
bagus 👍😎,5
"padahal bumn tapi aplikasinya kacau,,sekarang ngk bisa lihat barcode dgn alasan nik ktp dan pasword tidak sesuai,,padahal sudah sesuai,,jd sekarang bisa liat barcode dari chrome😇😇😇",1
mantap,5
"Tidak bisa klaim QR code.. disuruh rubah pin sudah dirubah, tapi tetap aja gk bisa",3
sangat memuaskan,5
"aplikasi kagak jelas cuma bikin susah rakyat aja,,, gak difikirakan secara matang klo bikin sesuatu itu cuma mikir keuntungan saja,,,, Payah hidup di negara konoha,,,",1
"ga bisa daftar subsidi tepat,yg ada error Mulu, hapus aja mypertamina",1
Aplikasi Buruukk. Selalu mengulang login jika beberapa hari tidak di buka. lebih baik via my.pertamina.login tidak harus makan penyimpanan ponsel saya untuk pasang aplikasi ini.,1
"mau klaim kode qr lemot banget, nik atau pin salah, pdahal pin udah diganti lagi tetap salah masukin pin dan nik, mau masuk app pertamina aja nik tidak ditemukan, tapi pas mau daftar baru nik sudah ada, kan anehh dan mengecewakan, sekelas pertamina aplikasinya kaya gini, haduhhhh",1
ok,5
ok,5
"koneksi ke ovo keterangan perbaikan sistem terus, gk bisa terhubung juga tidak bisa diputus pemeliharaan aplikasi yang buruk perbaikan tak kunjung usai gk dapat solusinya huft kenapa sekelas bumn seperti ini ya?",1
"mau masuk aplikasi tidak bisa, user password dinyatakan salah padahal biasanya pake itu, kadang bisa masuk tapi otp simaaukkan gak bisa juga",1
Min edit data kendaraan gmn..salah masukin cc kendaraan..,4
"di aplikasi mau lihat kode QR tidak bisa,tapi di web bisa.dengan akun yg sama padahal NIK dan pasword sama.",3
"aplikasi gak ada respon cuman mentok di logo nya gak ada perubahan memperibet orang aja, buang buang waktu nunggu aplikasi kaya gini",1
mantap,5
"aplikasi ini maunya gimana sih, mau login ke akun subsidi tepat aja ga bisa. mau masukin OTP aja gagal terus, dipersulit semuanya aneh",1
"saya mendapatkan QR code dinamis. saat ini tidak bisa menampilkan QR code, meskipun pin dan nik benar. bagaimana cara merubah QR code dari dinamis ke statis ? jika aplikasi tersebut buruk",1
"aplikasi error', NIK dan password tidak ditemukan, padahal klo di website bisa terbaca Krn memang akun My Pertamina sudah aktif dari satu tahun yang lalu",1
bagus,5
"ini saya beberapa hari daftar ga bisa"" dan aplikasinya tidak bisa dipakai sama sekali busuk juga Pertamina ini",1
"tolong sistemnya segera di perbaiki mau daftar barcode subsidi tepat gagal terosss ,mohon tim IT nya segera bertindak atas keluhanan tersebut",2
"aplikasi rusak semua ini data semuanya sudah benar login google chrome bisa tapi login di aplikasi bertuliskan ""nik dan password salah""ini gimana ini sangat menyusahkan",1
aplikasi sangat membantu,5
"aplikasinya belum sepenuhnya selesai kayanya, kbanyakan si tolak eror dan dan sebagainya 🤔",2
padahal udah daftar giliran mau login ulang ko susah bener salah trus aneh,1
ok,5
👍👍👍👍profisional,5
nik ktp sudah benar password sudah benar tp masih gak bisa masuk.. tolong diperbaiki lagi lah bosq.. jadi gimana mau ngisi minyak ni... barcode harus di perbaharui..jadi saya harus mengadu sama siapa,1
OTP UDAH BENAR TAPI PAS DI MASUK IN CAPTA SALAH PADAHAL ANGKA NYA UDAH BENAR PAS MASUK IN SALAH INI APLIKASI BUAT AN INDONESIA PAYAH BENER,1
kesalahan sistem terus saat pendaftaran,3
good,5
"Login pakai aplikasi tulisannya NIK atau pasword salah, pas klik lupa pasword, tulisannya user tidak ditemukan, gilaran pakai browser bisa dgn NIK dan pasword yg sama dgn aplikasi, klo gitu ga usah ada aplikasi aja, sudah ikutin saran di balasan komennya pertamina di google play jg tetep ga bisa, tetep cuma bisa login pakai browser aja",1
aplikasi taekk..tiba-tiba akun saya tidak ditemukan pdahal sudah daftar dari lama malah gak ada,1
mantap,5
daftarnya ribet+sulit kalau bisa yang simpel aja apalagi khusus para petani yang kesusahan seperti bapak bapak yang tak punya gadget canggih,1
Semoga Pertamina terus memberi manfaat bagi rakyat kecil,5
"tolong apk di maintenance dulu soalnya mau masuk akun tidak bisa banyak gangguan bagaimana bbm mau efesien kalau administrasi nya kayak gini coba di evaluasi dulu untuk apk nya atau server nya ga mampu, jadi kalau meluncurkan apk berbasis nasional harus di persiapkan baik-baik jangan sampe rakyat lain di ribetkan tolong perhatian nya admin.",1
aplikasi busuk,1
"sy sudah akun lalu mau masuk ke subsidi tepat buat cek riwayat pembelian BBM. tp kenapa kog gag bisa masuk alasan nik&pasword tidak sesuai. padahal sudah sesuai. ini polikasinya yg down atau gimana, tolong segera diperbaiki.",3
"RIBETT ATURAN SEKARANG PADAHAL BELI TAPI DI PERSULIT KONOHA BENER""",1
oke melayani kontribusi yg baik terhadap rakyat dan hapus korupsinya 🙏🙏🙏,5
"Aplikasi yang sangat Jelek, login tidak mau, dan mendaftarkan kendaraan tidak mau, maunya ngurus sama Pihak SPBU lansung dan Bayar, mungkin ini kesengajaan biar jadi bisnis dan ladang Cuan",1
"mau ngisi BBM tanda barcode gak bisa, mau daftar barcode gak bisa. Mantap Indonesia",1
sukses selalu MyPertamina,5
huuu kesalah sistim bae,4
tolong dong mau aplod foto stnk gk bisa. udah klik ambil foto tetap juga gk bisa.,5
Ok,3
berguna sekali,5
"aplikasi eror, setiap masuk ke akun nggak bisa (NIK atau paswod salah) padahal saya udah memasukan NIK dan paswod yang benar tolong diperbaiki min !!",1
fitur nya lengkap,5
apk udah 3 Hari ini ga bisa buka tolong perbaiki bikin susah mau isi BBM di pom bensin kalo sering error kembalikan lagi ga usah pake barcode segala itu di propinsi Aceh bisa ga pake barcode kalo hanya bikin susah aja ini,1
masuk dengan kata sandi tetap aja salah padahal kata sandi sudah benar sampe aku tulis juga di kertas tapi tetap aja salah kata sandinya. kan Aneh,1
"tidak bisa daftar buat barcode di persulit buang² waktu saja,sudah di coba melalui berbagai macam aplikasi tetep sulit",1
bagus,5
"ganti plat mobil, ganti STNK harus ganti barcode...STNK dr Samsat kantor pajak belum jadi lebih dari 1 bulan...otomatis my subsidi gak bisa di pakai, verifikasi foto nya pakai STNK dan daftar ulang ditolak terus ....",1
Sippp,5
"dari dulu, kalo bbm subsidi tuh di buat susah, antri panjang, mmngny SPBU dr bbm subsidi ga dpt untung yah? kan sudah disubsidi pemerintah. knp dibikin susah pengisian bensinya? Nozle di kurangin jadi 1 doank, udah pakai aplikasi respon lama, udah antri bbm, antri aplikasi lagi, self service. petugasnya yg malas atau bgmn?..",1
luar biasa jelek,1
Tiba-tiba ngga bisa login katanya akun ngga ke daftar aneh lu,2
keren,5
terimakasih sudah membantu saya,5
begitu login mau tambah unit hrus daftar lgi... kdang pasword kira sdah lupa... ulang dr awal lgi... knpa ribet bnget ya... terus knpa hrus pki aplikasi lain sprti chrome.... kan sdh ada my pertamina sndiri... bikin mudah rakyat yg ingin bner sesuai jalur.... jgan d persulit dgan hal apapun,5
keren,5
sangat mudah untuk bertransaksi ketika tidak membawa uang cash,5
udah punya akun tapi giliran masuk username tidak ditemukan,3
"login di web mau ambil qr code, disuruh lewat aplikasi. Setelah login di aplikasi mau claim QR, malah gabisa karena data tidak valid, padahal sudah mengisi data yg sesuai saat pendaftaran. Tidak mungkin salah input karena sebelumnya ""pernah"" bisa dan saya mengingat dan mencatat semua data saya termasuk password.",1
"cs nya ga guna, apk nya sering eror, buat munculin QR nya susah banget. perbaikan lah plis nyusahin",1
mantap lancar jaya,5
aplikasi buruk,1
saya tetap antri,2
berapakali aku mendaftar gak pernah lulus,1
proses pendaftraan sulit tdk rekomen sama sekali dua kali instal tetep aja susah buat daftar subsidi tepat... sangan buruk dan mempersulit masyarakat,1
harus punya donk....,5
"Selamat malam saya melakukan reset pin karena lupa, tapi ditunggu link untuk resetnya selalu tidak ada.mkash",1
tolong di jelskan kok bisa kata op. spbu kode barcode saya diblokir...bagaimana ceritanya ni my pertamina ??,5
aplikasi error,1
susah,1
usefull,5
pertamina class word,5
bagus,5
"mohon maaf aplikasi semacam apa ini setiap kali di coba coba selalu user salah password salah lah, maunya apa tolong dibenahi, aplikasi tiba tiba g bs dibuka dengan user dan pass yg terdaftar, sementara kita diharuskan pake barcode dengan donwload aplikasi My pertamina, kenapa kami selalu dikecewakan, kami ini pengguna produk pertamina dan kami beli, karena hanya ada pertamina di daerah kami, coba ada yg lain mungkin kami lebih memilih yg lain, mon maaf",1
aplikasi tidak akurat setiap mau memasukkan kode yg dikirim melalui SMS u/ email tidak bisa padahal sudah sesuai kode yg di kirim,1
"Good, hrs nya semua SPBU memberlakukan pembayarannya pake app My pertamina, skala prioritas di jalur² utama & Tol",4
keren,5
keren,5
sangat mudah memakainya,5
"aplikasi gk terlalu guna ini , bisa bisa nya nyari celah buat nyari lebihan .",1
"Aplikasi perlu diperbaiki saat menghubungkan ke subsidi tepat. Daftar kendaraan lewat aplikasi ini selalu gagal saat masuk ke akun subsiditepat. Muncul pesan ""NIK atau password tidak benar"". Waktu masuk lewat browser langsung bisa tanpa kendala. Begitu juga saat mau lain kode QR selalu gagal dg pesan yg muncul ""Terjadi kesalahan. periksa kembali NIK dan pin yg anda masukkan"" padahal tdk ada kesalahan input.",2
tidak bisa upload foto kendaraan saat mau membuat subsidi tepat,1
kacau web dan aplikasinya tapi tetap diberlakukan ? setiap kali login masuk nik dan password salah?.,1
good,5
mau masuk akun masa ngulang password terus,2
"tiba2 log out sendiri, log in kembali gak bisa,,, daftar ulang lg gak bisa juga. aplikasi eror masih juga di diamkan sekelas pertamina. GAK GUNAAAAAAAAAA",1
"di spbu jambe arum kendal kenapa gak bisa isi bbm bayar pake pertamina.....hari selasa tanggal 22 april 202t jam 07.05 wib saya mau ngisi harus bayar cash, padahal ada banner pertamina...saya sampaikan katanya itu sdh lama",5
ok gass,5
"saya sudah registrasi, nik sudah terdaftar buktinya ada di email saya. saya ingin ngecek barcode lagi malah akun tidak ditemukan dan nik salah . gmna nihh min masa iya harus daftar lagiiiiii??????",1
tolong di perbaiki lagi sistem nya dri kemaren mau download barcode ga bisa bisa bikin ribet aja error terus,2
ok,5
kode QR tidak bisa tampil di aplikasi My Pertamina😇😇😇,1
aplikasi bikin jengkel.stiap mau login gagal trs.padahal nik sama sandi dah bener. INDONESIA MAKIN RUWETTT.RUWTET. APLIKASI PAYAHHH!!!!!,1
aplikasi bikin sulit! barcode ga bisa2,1
"aplikasi tidak dapat merespon dengan cepat, jadi selalu gagal",2
mantap,5
Enak versi lama versi sekarang ribet makin kesini makin ribet apk mypertamina mau login aja susah sekarang!!!!,1
saya mau masuk akun kenapa tiba-tiba user tidak di temukan gimana ini min,2
aplikasi apa ni jelek kali minyak belum login aja susah kontil,1
"ditambah lagi outlet nya,",5
"gimana dah ini daftar ga bisa2 mulu,tulisannya kendala sistem mulu emang ga bisa kali ya orang suruh beli pertamax mulu kali,udah sebelan begitu aja terus",1
aplikasi cacat..,1
Jozzzzz Gandozz Top Markotop,5
"sulit login, mau login subsidi katanya nik / pasword tidak benar, padahal login di browser langsung bisa masuk",1
"Login akun subsidi dari google chrome bisa, sedangkan via aplikasi tidak bisa. Aneh yaaa. Tolong benahi dulu",3
"aplkkasi mempersulit , seharus nya kalau sudah terdaftar barcode jangan di rubah"" menyulitkan pengguna saja. aplikasi kok menyulitkan, waktu update selalu data tidak di temukan",1
butut,1
izin min mengapa tidak bisa login melalui aplikasi,1
mantap,5
"masih bnyk yg perlu di perbaiki dr aplikasi nya, karna jadi kebutuhan dan permasalahan juga banyak, susah masuk terkadang NIK tidak sesuai dan padahal NIK sudah terdaftar",3
"mau daftar aja susah bnget,,udh semua coba bikin d spbu g bsa jga,,mau beli bbm ajq susah bnget bikin aplikasinya,,tolong d permudah dong,,kami mau beli bbm bukan nyuri",1
"Makin lama ini Aplikasi makin ga berguna, dulu tiap klaim kode Qr masih mudah skrg tiap klaim kode Qr selalu gagal muncul tulisan Login gagal, periksa kembali Nik dan pin yg anda masukan . padahal semua sudah benar tp gagal terus. aplikasi yg bener2 sampah.",1
sering error sangat membuang waktu,1
sangat membantu,5
"pengen nangis, pasword bener dikira salah terus terusan. foto sudah pas masih salah yaa Allah gini amat mau cari barcode",1
jos,5
"ini aplikasi error ato gimana? ko tiba² logout, trus gak bisa masuk lagi. mau klaim barcode, malah error. cek history, tiba² gak ad riwayat. padahal sya udah lama pake aplikasinya.",1
"saya sudah daftar dan saya lupa password ,ketika disuruh masukan nik ,nik tidak terdaftar jelas saya sudah terdaftar dan sudah ada barcode hanya saja kendala login ulang",1
koruptor. aplikasinya sudah tidak bisa menampilkan qr code meskipun sudah reset pin klaim di website. aplikasi koruptor tidak jelas. bikin susah,1
"kenapa aplikasi model pemerintah begini jelek,sistem mengalami gangguan setiap kali mau mengirim data pribadi,tolong diperbaiki,kalau Pertamina mewajibkan kendaraan roda 4 menggunakan barcode tapi aplikasi buruk bagaimana ini",1
